country_name,adjectivals,natural_country_name,adjectival_1,adjectival_2,adjectival_3,adjectival_4
Abkhazia (region in Georgia),"Abkhaz, Abkhazian",Abkhazia (region in Georgia),Abkhaz,Abkhazian,NA,NA
Afghanistan,Afghan,Afghanistan,Afghan,NA,NA,NA
Åland Islands,Åland Island,Åland Islands,Åland Island,NA,NA,NA
Albania,Albanian,Albania,Albanian,NA,NA,NA
Algeria,Algerian,Algeria,Algerian,NA,NA,NA
American Samoa,American Samoan,American Samoa,American Samoan,NA,NA,NA
Andorra,Andorran,Andorra,Andorran,NA,NA,NA
Angola,Angolan,Angola,Angolan,NA,NA,NA
Anguilla,Anguillan,Anguilla,Anguillan,NA,NA,NA
Antarctica,Antarctic,Antarctica,Antarctic,NA,NA,NA
Antigua and Barbuda,"Antiguan, Barbudan",Antigua and Barbuda,Antiguan,Barbudan,NA,NA
Argentina,Argentine,Argentina,Argentine,NA,NA,NA
Armenia,Armenian,Armenia,Armenian,NA,NA,NA
Aruba,Aruban,Aruba,Aruban,NA,NA,NA
Australia,Australian,Australia,Australian,NA,NA,NA
Austria,Austrian,Austria,Austrian,NA,NA,NA
Azerbaijan,"Azerbaijani, Azeri",Azerbaijan,Azerbaijani,Azeri,NA,NA
"Bahamas, The",Bahamian,The Bahamas,Bahamian,NA,NA,NA
Bahrain,Bahraini,Bahrain,Bahraini,NA,NA,NA
Bangladesh,Bangladeshi,Bangladesh,Bangladeshi,NA,NA,NA
Barbados,Barbadian,Barbados,Barbadian,NA,NA,NA
Belarus,Belarusian,Belarus,Belarusian,NA,NA,NA
Belgium,Belgian,Belgium,Belgian,NA,NA,NA
Belize,Belizean,Belize,Belizean,NA,NA,NA
Benin,"Beninese, Beninois",Benin,Beninese,Beninois,NA,NA
Bermuda,"Bermudian, Bermudan",Bermuda,Bermudian,Bermudan,NA,NA
Bhutan,Bhutanese,Bhutan,Bhutanese,NA,NA,NA
Bolivia,Bolivian,Bolivia,Bolivian,NA,NA,NA
Bonaire,Bonaire,Bonaire,Bonaire,NA,NA,NA
Bosnia and Herzegovina,"Bosnian, Herzegovinian",Bosnia and Herzegovina,Bosnian,Herzegovinian,NA,NA
Botswana,"Motswana, Botswanan",Botswana,Motswana,Botswanan,NA,NA
Bouvet Island,Bouvet Island,Bouvet Island,Bouvet Island,NA,NA,NA
Brazil,Brazilian,Brazil,Brazilian,NA,NA,NA
British Indian Ocean Territory,BIOT,British Indian Ocean Territory,BIOT,NA,NA,NA
Brunei,Bruneian,Brunei,Bruneian,NA,NA,NA
Bulgaria,Bulgarian,Bulgaria,Bulgarian,NA,NA,NA
Burkina Fasoa,Burkinabé,Burkina Fasoa,Burkinabé,NA,NA,NA
Burma,Burmese,Burma,Burmese,NA,NA,NA
Burundi,Burundian,Burundi,Burundian,NA,NA,NA
Cabo Verde,Cabo Verdean,Cabo Verde,Cabo Verdean,NA,NA,NA
Cambodia,Cambodian,Cambodia,Cambodian,NA,NA,NA
Cameroon,Cameroonian,Cameroon,Cameroonian,NA,NA,NA
Canada,Canadian,Canada,Canadian,NA,NA,NA
Cape Verde,Cabo Verdean,Cape Verde,Cabo Verdean,NA,NA,NA
Cayman Islands,Caymanian,Cayman Islands,Caymanian,NA,NA,NA
Central African Republic,Central African,Central African Republic,Central African,NA,NA,NA
Chad,Chadian,Chad,Chadian,NA,NA,NA
Chile,Chilean,Chile,Chilean,NA,NA,NA
"China, People's Republic of",Chinese,China,Chinese,NA,NA,NA
"China, Republic of","See Taiwan, below",Taiwan,,,NA,NA
Christmas Island,Christmas Island,Christmas Island,Christmas Island,NA,NA,NA
Cocos (Keeling) Islands,Cocos Island,Cocos (Keeling) Islands,Cocos Island,NA,NA,NA
Colombia,Colombian,Colombia,Colombian,NA,NA,NA
Comoros,"Comoran, Comorian",Comoros,Comoran,Comorian,NA,NA
"Congo, Democratic Republic of the",Congolese,Democratic Republic of the Congo,Congolese,NA,NA,NA
"Congo, Republic of the",NA,Republic of the Congo,Congolese,NA,NA,NA
Cook Islands,Cook Island,Cook Islands,Cook Island,NA,NA,NA
Costa Rica,Costa Rican,Costa Rica,Costa Rican,NA,NA,NA
Côte d'Ivoire,Ivorian,Côte d'Ivoire,Ivorian,NA,NA,NA
Croatia,Croatian,Croatia,Croatian,NA,NA,NA
Cuba,Cuban,Cuba,Cuban,NA,NA,NA
Curaçao,Curaçaoan,Curaçao,Curaçaoan,NA,NA,NA
Cyprus,Cypriot,Cyprus,Cypriot,NA,NA,NA
Czech Republic,Czech,Czech Republic,Czech,NA,NA,NA
Denmark,Danish,Denmark,Danish,NA,NA,NA
Djibouti,Djiboutian,Djibouti,Djiboutian,NA,NA,NA
Dominican Republic,Dominican,Dominican Republic,Dominican,NA,NA,NA
East Timor,Timorese,East Timor,Timorese,NA,NA,NA
Ecuador,Ecuadorian,Ecuador,Ecuadorian,NA,NA,NA
Egypt,Egyptian,Egypt,Egyptian,NA,NA,NA
El Salvador,Salvadoran,El Salvador,Salvadoran,NA,NA,NA
England,"English, British",England,English,,NA,NA
Equatorial Guinea,"Equatorial Guinean, Equatoguinean",Equatorial Guinea,Equatorial Guinean,Equatoguinean,NA,NA
Eritrea,Eritrean,Eritrea,Eritrean,NA,NA,NA
Estonia,Estonian,Estonia,Estonian,NA,NA,NA
Ethiopia,Ethiopian,Ethiopia,Ethiopian,NA,NA,NA
European Union,European,European Union,European,NA,NA,NA
Falkland Islands,Falkland Island,Falkland Islands,Falkland Island,NA,NA,NA
Faroe Islands,Faroese,Faroe Islands,Faroese,NA,NA,NA
Fiji,Fijian,Fiji,Fijian,NA,NA,NA
Finland,Finnish,Finland,Finnish,NA,NA,NA
France,French,France,French,NA,NA,NA
French Guiana,French Guianese,French Guiana,French Guianese,NA,NA,NA
French Polynesia,French Polynesian,French Polynesia,French Polynesian,NA,NA,NA
French Southern Territories,French Southern Territories,French Southern Territories,French Southern Territories,NA,NA,NA
Gabon,Gabonese,Gabon,Gabonese,NA,NA,NA
"Gambia, The",Gambian,The Gambia,Gambian,NA,NA,NA
Georgia,Georgian,Georgia,Georgian,NA,NA,NA
Germany,German,Germany,German,NA,NA,NA
Ghana,Ghanaian,Ghana,Ghanaian,NA,NA,NA
Gibraltar,Gibraltar,Gibraltar,Gibraltar,NA,NA,NA
Great Britain,"British, UK",Great Britain,British,,NA,NA
Greece,"Greek, Hellenic",Greece,Greek,Hellenic,NA,NA
Greenland,Greenlandic,Greenland,Greenlandic,NA,NA,NA
Grenada,Grenadian,Grenada,Grenadian,NA,NA,NA
Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe,NA,NA,NA
Guam,"Guamanian, Guambat",Guam,Guamanian,Guambat,NA,NA
Guatemala,Guatemalan,Guatemala,Guatemalan,NA,NA,NA
Guernsey,Channel Island,Guernsey,Channel Island,NA,NA,NA
Guinea,Guinean,Guinea,Guinean,NA,NA,NA
Guinea-Bissau,Bissau-Guinean,Guinea-Bissau,Bissau-Guinean,NA,NA,NA
Guyana,Guyanese,Guyana,Guyanese,NA,NA,NA
Haiti,Haitian,Haiti,Haitian,NA,NA,NA
Heard Island and McDonald Islands,"Heard Island, McDonald Islands",Heard Island and McDonald Islands,Heard Island,McDonald Islands,NA,NA
Honduras,Honduran,Honduras,Honduran,NA,NA,NA
Hong Kong,"Hong Kong, Chinese",Hong Kong,Hong Kong,,NA,NA
Hungary,"Hungarian, Magyar",Hungary,Hungarian,Magyar,NA,NA
Iceland,Icelandic,Iceland,Icelandic,NA,NA,NA
India,Indian,India,Indian,NA,NA,NA
Indonesia,Indonesian,Indonesia,Indonesian,NA,NA,NA
Iran,"Iranian, Persian",Iran,Iranian,Persian,NA,NA
Iraq,Iraqi,Iraq,Iraqi,NA,NA,NA
Ireland,Irish,Ireland,Irish,NA,NA,NA
Isle of Man,Manx,Isle of Man,Manx,NA,NA,NA
Israel,Israeli,Israel,Israeli,NA,NA,NA
Italy,Italian,Italy,Italian,NA,NA,NA
Ivory Coast,Ivorian,Ivory Coast,Ivorian,NA,NA,NA
Jamaica,Jamaican,Jamaica,Jamaican,NA,NA,NA
Jan Mayen,Jan Mayen,Jan Mayen,Jan Mayen,NA,NA,NA
Japan,Japanese,Japan,Japanese,NA,NA,NA
Jersey,Channel Island,Jersey,Channel Island,NA,NA,NA
Jordan,Jordanian,Jordan,Jordanian,NA,NA,NA
Kazakhstan,"Kazakhstani, Kazakh",Kazakhstan,Kazakhstani,Kazakh,NA,NA
Kenya,Kenyan,Kenya,Kenyan,NA,NA,NA
Kiribati,I-Kiribati,Kiribati,I-Kiribati,NA,NA,NA
"Korea, Democratic People's Republic of",North Korean,Democratic People's Republic of Korea,North Korean,NA,NA,NA
"Korea, Republic of",South Korean,Republic of Korea,South Korean,Korean,NA,NA
Kosovo,"Kosovar, Kosovan",Kosovo,Kosovar,Kosovan,NA,NA
Kuwait,Kuwaiti,Kuwait,Kuwaiti,NA,NA,NA
Kyrgyzstan,"Kyrgyzstani, Kyrgyz, Kirgiz, Kirghiz",Kyrgyzstan,Kyrgyzstani,Kyrgyz,Kirgiz,Kirghiz
Laos,"Lao, Laotian",Laos,Lao,Laotian,NA,NA
Latvia,Latvian,Latvia,Latvian,NA,NA,NA
Lebanon,Lebanese,Lebanon,Lebanese,NA,NA,NA
Lesotho,Basotho,Lesotho,Basotho,NA,NA,NA
Liberia,Liberian,Liberia,Liberian,NA,NA,NA
Libya,Libyan,Libya,Libyan,NA,NA,NA
Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,NA,NA,NA
Lithuania,Lithuanian,Lithuania,Lithuanian,NA,NA,NA
Luxembourg,"Luxembourg, Luxembourgish",Luxembourg,Luxembourg,Luxembourgish,NA,NA
Macau,"Macanese, Chinese",Macau,Macanese,,NA,NA
"Macedonia, Republic of",Macedonian,Republic of Macedonia,Macedonian,NA,NA,NA
Madagascar,Malagasy,Madagascar,Malagasy,NA,NA,NA
Malawi,Malawian,Malawi,Malawian,NA,NA,NA
Malaysia,Malaysian,Malaysia,Malaysian,NA,NA,NA
Maldives,Maldivian,Maldives,Maldivian,NA,NA,NA
Mali,"Malian, Malinese",Mali,Malian,Malinese,NA,NA
Malta,Maltese,Malta,Maltese,NA,NA,NA
Marshall Islands,Marshallese,Marshall Islands,Marshallese,NA,NA,NA
Martinique,"Martiniquais, Martinican",Martinique,Martiniquais,Martinican,NA,NA
Mauritania,Mauritanian,Mauritania,Mauritanian,NA,NA,NA
Mauritius,Mauritian,Mauritius,Mauritian,NA,NA,NA
Mayotte,Mahoran,Mayotte,Mahoran,NA,NA,NA
Mexico,Mexican,Mexico,Mexican,NA,NA,NA
"Micronesia, Federated States of",Micronesian,Federated States of Micronesia,Micronesian,NA,NA,NA
Moldova,Moldovan,Moldova,Moldovan,NA,NA,NA
Monaco,"Monégasque, Monacan",Monaco,Monégasque,Monacan,NA,NA
Mongolia,Mongolian,Mongolia,Mongolian,NA,NA,NA
Montenegro,Montenegrin,Montenegro,Montenegrin,NA,NA,NA
Montserrat,Montserratian,Montserrat,Montserratian,NA,NA,NA
Morocco,Moroccan,Morocco,Moroccan,NA,NA,NA
Mozambique,Mozambican,Mozambique,Mozambican,NA,NA,NA
Myanmar,Burmese,Myanmar,Burmese,NA,NA,NA
Namibia,Namibian,Namibia,Namibian,NA,NA,NA
Nauru,Nauruan,Nauru,Nauruan,NA,NA,NA
Nepal,"Nepali, Nepalese",Nepal,Nepali,Nepalese,NA,NA
Netherlands,"Dutch, Netherlandic",Netherlands,Dutch,Netherlandic,NA,NA
New Caledonia,New Caledonian,New Caledonia,New Caledonian,NA,NA,NA
New Zealand,"New Zealand, NZ",New Zealand,New Zealand,New Zealander,Kiwi,NA
Nicaragua,Nicaraguan,Nicaragua,Nicaraguan,NA,NA,NA
Niger,Nigerien,Niger,Nigerien,NA,NA,NA
Nigeria,Nigerian,Nigeria,Nigerian,NA,NA,NA
Niue,Niuean,Niue,Niuean,NA,NA,NA
Norfolk Island,Norfolk Island,Norfolk Island,Norfolk Island,NA,NA,NA
Northern Ireland,"Northern Irish, British",Northern Ireland,Northern Irish,,NA,NA
Northern Mariana Islands,Northern Marianan,Northern Mariana Islands,Northern Marianan,NA,NA,NA
Norway,Norwegian,Norway,Norwegian,NA,NA,NA
Oman,Omani,Oman,Omani,NA,NA,NA
Pakistan,Pakistani,Pakistan,Pakistani,NA,NA,NA
Palau,Palauan,Palau,Palauan,NA,NA,NA
Palestine,Palestinian,Palestine,Palestinian,NA,NA,NA
Panama,Panamanian,Panama,Panamanian,NA,NA,NA
Papua New Guinea,"Papua New Guinean, Papuan",Papua New Guinea,Papua New Guinean,Papuan,NA,NA
Paraguay,Paraguayan,Paraguay,Paraguayan,NA,NA,NA
Peru,Peruvian,Peru,Peruvian,NA,NA,NA
Philippines,"Philippine, Filipino",Philippines,Philippine,Filipino,NA,NA
Pitcairn Islands,Pitcairn Island,Pitcairn Islands,Pitcairn Island,NA,NA,NA
Poland,Polish,Poland,Polish,NA,NA,NA
Portugal,Portuguese,Portugal,Portuguese,NA,NA,NA
Puerto Rico,Puerto Rican,Puerto Rico,Puerto Rican,NA,NA,NA
Qatar,Qatari,Qatar,Qatari,NA,NA,NA
Réunion,"Réunionese, Réunionnais",Réunion,Réunionese,Réunionnais,NA,NA
Romania,Romanian,Romania,Romanian,NA,NA,NA
Russia,Russian,Russia,Russian,NA,NA,NA
Rwanda,Rwandan,Rwanda,Rwandan,NA,NA,NA
Saba,Saba,Saba,Saba,NA,NA,NA
Saint Barthélemy,Barthélemois,Saint Barthélemy,Barthélemois,NA,NA,NA
"Saint Helena, Ascension and Tristan da Cunha",Saint Helenian,Saint Ascension and Tristan da Cunha Helena,Saint Helenian,NA,NA,NA
Saint Kitts and Nevis,"Kittitian, Nevisian",Saint Kitts and Nevis,Kittitian,Nevisian,NA,NA
Saint Lucia,Saint Lucian,Saint Lucia,Saint Lucian,NA,NA,NA
Saint Martin,Saint-Martinoise,Saint Martin,Saint-Martinoise,NA,NA,NA
Saint Pierre and Miquelon,"Saint-Pierrais, Miquelonnais",Saint Pierre and Miquelon,Saint-Pierrais,Miquelonnais,NA,NA
Saint Vincent and the Grenadines,"Saint Vincentian, Vincentian",Saint Vincent and the Grenadines,Saint Vincentian,Vincentian,NA,NA
Samoa,Samoan,Samoa,Samoan,NA,NA,NA
San Marino,Sammarinese,San Marino,Sammarinese,NA,NA,NA
São Tomé and Príncipe,São Toméan,São Tomé and Príncipe,São Toméan,NA,NA,NA
Saudi Arabia,"Saudi, Saudi Arabian",Saudi Arabia,Saudi,Saudi Arabian,NA,NA
Scotland,"Scots, Scottish, British",Scotland,Scots,Scottish,,NA
Senegal,Senegalese,Senegal,Senegalese,NA,NA,NA
Serbia,Serbian,Serbia,Serbian,NA,NA,NA
Seychelles,Seychellois,Seychelles,Seychellois,NA,NA,NA
Sierra Leone,Sierra Leonean,Sierra Leone,Sierra Leonean,NA,NA,NA
Singapore,"Singapore, Singaporean",Singapore,Singapore,Singaporean,NA,NA
Sint Eustatius,"Sint Eustatius, Statian",Sint Eustatius,Sint Eustatius,Statian,NA,NA
Sint Maarten,Sint Maarten,Sint Maarten,Sint Maarten,NA,NA,NA
Slovakia,Slovak,Slovakia,Slovak,NA,NA,NA
Slovenia,"Slovenian, Slovene",Slovenia,Slovenian,Slovene,NA,NA
Solomon Islands,Solomon Island,Solomon Islands,Solomon Island,NA,NA,NA
Somalia,"Somali, Somalian",Somalia,Somali,Somalian,NA,NA
South Africa,South African,South Africa,South African,NA,NA,NA
South Georgia and the South Sandwich Islands,"South Georgia, South Sandwich Islands",South Georgia and the South Sandwich Islands,South Georgia,South Sandwich Islands,NA,NA
South Ossetia (Region of Georgia),South Ossetian,South Ossetia (Region of Georgia),South Ossetian,NA,NA,NA
South Sudan,South Sudanese,South Sudan,South Sudanese,NA,NA,NA
Spain,Spanish,Spain,Spanish,NA,NA,NA
Sri Lanka,Sri Lankan,Sri Lanka,Sri Lankan,NA,NA,NA
Sudan,Sudanese,Sudan,Sudanese,NA,NA,NA
Surinam,Surinamese,Surinam,Surinamese,NA,NA,NA
Svalbard,Svalbard,Svalbard,Svalbard,NA,NA,NA
Swaziland,Swazi,Swaziland,Swazi,NA,NA,NA
Sweden,Swedish,Sweden,Swedish,NA,NA,NA
Switzerland,Swiss,Switzerland,Swiss,NA,NA,NA
Syria,Syrian,Syria,Syrian,NA,NA,NA
Taiwan,"Chinese, Taiwanese",Taiwan,,Taiwanese,NA,NA
Tajikistan,Tajikistani,Tajikistan,Tajikistani,NA,NA,NA
Tanzania,Tanzanian,Tanzania,Tanzanian,NA,NA,NA
Thailand,Thai,Thailand,Thai,NA,NA,NA
Timor-Leste,Timorese,Timor-Leste,Timorese,NA,NA,NA
Togo,Togolese,Togo,Togolese,NA,NA,NA
Tokelau,Tokelauan,Tokelau,Tokelauan,NA,NA,NA
Tonga,Tongan,Tonga,Tongan,NA,NA,NA
Trinidad and Tobago,"Trinidadian, Tobagonian",Trinidad and Tobago,Trinidadian,Tobagonian,NA,NA
Tunisia,Tunisian,Tunisia,Tunisian,NA,NA,NA
Turkey,Turkish,Turkey,Turkish,NA,NA,NA
Turkmenistan,Turkmen,Turkmenistan,Turkmen,NA,NA,NA
Turks and Caicos Islands,Turks and Caicos Island,Turks and Caicos Islands,Turks and Caicos Island,NA,NA,NA
Tuvalu,Tuvaluan,Tuvalu,Tuvaluan,NA,NA,NA
Uganda,Ugandan,Uganda,Ugandan,NA,NA,NA
Ukraine,Ukrainian,Ukraine,Ukrainian,NA,NA,NA
United Arab Emirates,"Emirati, Emirian, Emiri",United Arab Emirates,Emirati,Emirian,Emiri,NA
United Kingdom,"British, UK",United Kingdom,,UK,NA,NA
United States,"United States, US, American",United States,United States,US,American,NA
Uruguay,Uruguayan,Uruguay,Uruguayan,NA,NA,NA
Uzbekistan,"Uzbekistani, Uzbek",Uzbekistan,Uzbekistani,Uzbek,NA,NA
Vanuatu,"Ni-Vanuatu, Vanuatuan",Vanuatu,Ni-Vanuatu,Vanuatuan,NA,NA
Vatican City State,Vatican,Vatican City State,Vatican,NA,NA,NA
Venezuela,Venezuelan,Venezuela,Venezuelan,NA,NA,NA
Vietnam,Vietnamese,Vietnam,Vietnamese,NA,NA,NA
"Virgin Islands, British",British Virgin Island,Virgin British Islands,British Virgin Island,NA,NA,NA
"Virgin Islands, United States",U.S. Virgin Island,Virgin United States Islands,U.S. Virgin Island,NA,NA,NA
Wales,"Welsh, British",Wales,Welsh,,NA,NA
Wallis and Futuna,"Wallis and Futuna, Wallisian, Futunan",Wallis and Futuna,Wallis and Futuna,Wallisian,Futunan,NA
Western Sahara,"Sahrawi, Sahrawian, Sahraouian",Western Sahara,Sahrawi,Sahrawian,Sahraouian,NA
Yemen,Yemeni,Yemen,Yemeni,NA,NA,NA
Zambia,Zambian,Zambia,Zambian,NA,NA,NA
Zimbabwe,Zimbabwean,Zimbabwe,Zimbabwean,NA,NA,NA
